nct_id,pmid,has_results,sources
NCT03752502,33788097,false,pubmed_naive
NCT03752502,34127394,false,pubmed_naive
NCT03752502,34487920,false,pubmed_naive
NCT03752502,37042223,false,pubmed_naive
NCT03752502,38805069,false,pubmed_naive
NCT01592370,25482239,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match"
NCT01592370,27269947,false,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match"
NCT01592370,31124580,false,google_scholar
NCT01592370,31981025,false,google_scholar
NCT01592370,32601377,false,google_scholar
NCT01592370,33321969,false,pubmed_enhanced
NCT01592370,36752328,false,nct_match
NCT01592370,38194016,false,google_scholar
NCT01592370,38781564,false,google_scholar
NCT01085500,21865947,true,"linked_at_registration,google_scholar,nct_match"
NCT01085500,25336820,false,pubmed_enhanced
NCT01085500,26863294,false,pubmed_enhanced
NCT01085500,31250243,false,pubmed_enhanced
NCT01085500,31292742,false,pubmed_enhanced
NCT01085500,34740413,false,pubmed_naive
NCT01085500,35415803,false,pubmed_naive
NCT01085500,35634184,false,pubmed_naive
NCT01085500,35688704,false,pubmed_naive
NCT01085500,36792789,false,pubmed_enhanced
NCT01085500,37858296,false,pubmed_naive
NCT00284791,22114540,false,google_scholar
NCT00527215,15794734,false,pubmed_naive
NCT02852824,36451029,false,"pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT02852824,39373152,false,google_scholar
NCT01087723,24171490,true,"linked_at_registration,google_scholar,nct_match"
NCT01087723,24268209,false,"linked_at_registration,nct_match"
NCT01087723,25572507,true,"linked_at_registration,google_scholar,nct_match"
NCT01087723,26056249,true,"linked_at_registration,google_scholar,nct_match"
NCT01087723,26995053,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01087723,27165710,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01087723,27287251,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01087723,28273285,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01087723,28631502,false,google_scholar
NCT01087723,29225903,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT02145559,28898679,false,google_scholar
NCT02145559,28915708,false,google_scholar
NCT02145559,29948021,true,"pubmed_naive,pubmed_enhanced,google_scholar"
NCT02145559,31102920,false,google_scholar
NCT02145559,31713495,false,google_scholar
NCT02145559,32394479,false,google_scholar
NCT02145559,32399389,false,google_scholar
NCT02145559,37160171,false,google_scholar
NCT02145559,37555194,false,google_scholar
NCT02145559,37624423,false,google_scholar
NCT03771339,33186305,false,"google_scholar,nct_match"
NCT03771339,37273946,false,pubmed_naive
NCT03771339,38479127,false,pubmed_naive
NCT03771339,39010772,false,pubmed_naive
NCT03771339,39206228,false,pubmed_naive
NCT03771339,39463102,false,pubmed_naive
NCT03034694,31541745,false,google_scholar
NCT03034694,31557497,true,google_scholar
NCT03034694,39432151,false,pubmed_naive
NCT03034694,39485591,false,pubmed_naive
NCT03034694,39486765,false,pubmed_naive
NCT03034694,39500711,false,pubmed_naive
NCT00550550,24812522,false,pubmed_enhanced
NCT00550550,25495666,true,google_scholar
NCT00550550,25685162,true,"linked_at_registration,pubmed_naive,google_scholar,nct_match"
NCT00550550,26495999,false,google_scholar
NCT00550550,27527264,true,google_scholar
NCT00550550,27838323,true,google_scholar
NCT00550550,31954191,true,google_scholar
NCT00550550,36653868,false,pubmed_enhanced
NCT00550550,37859770,false,pubmed_enhanced
NCT00550550,38529710,false,google_scholar
NCT00550550,38672249,false,google_scholar
NCT00047515,12545683,false,pubmed_enhanced
NCT00047515,12697062,false,pubmed_enhanced
NCT00047515,15790897,false,pubmed_enhanced
NCT00047515,19959644,false,pubmed_enhanced
NCT00047515,28239491,true,pubmed_enhanced
NCT04327739,36120764,true,"pubmed_enhanced,google_scholar"
NCT04327739,38499684,false,pubmed_naive
NCT04327739,38502554,false,pubmed_naive
NCT04327739,38674202,false,pubmed_naive
NCT04327739,39127951,false,pubmed_naive
NCT04327739,39459424,false,pubmed_naive
NCT02735122,38124555,true,"pubmed_naive,google_scholar,nct_match"
NCT00277771,22704741,true,"linked_at_registration,google_scholar,nct_match"
NCT00277771,22936524,true,"linked_at_registration,google_scholar,nct_match"
NCT00277771,23725640,true,google_scholar
NCT00277771,24434827,true,google_scholar
NCT00277771,24462731,false,google_scholar
NCT00277771,26609668,false,"linked_at_registration,google_scholar,nct_match"
NCT00277771,27654602,false,pubmed_enhanced
NCT00277771,28409090,false,pubmed_enhanced
NCT00277771,32087342,true,pubmed_enhanced
NCT00277771,32202506,false,pubmed_enhanced
NCT00277771,37458000,false,pubmed_enhanced
NCT00277771,38713063,false,pubmed_naive
NCT00277771,38962498,false,pubmed_naive
NCT00277771,39113371,false,pubmed_naive
NCT00277771,39405403,false,pubmed_naive
NCT00383565,17498667,false,google_scholar
NCT00383565,20025605,false,google_scholar
NCT00383565,21168343,false,google_scholar
NCT00383565,21185361,false,google_scholar
NCT00383565,22491302,false,google_scholar
NCT00383565,23103179,false,google_scholar
NCT00383565,27329599,false,google_scholar
NCT00383565,35008680,false,google_scholar
NCT00383565,36362442,false,google_scholar
NCT00383565,39214957,false,pubmed_naive
NCT00383565,39240498,false,pubmed_naive
NCT00383565,39368485,false,pubmed_naive
NCT00383565,39409979,false,pubmed_naive
NCT00383565,39425756,false,pubmed_naive
NCT03680664,34130721,false,pubmed_naive
NCT03680664,34630733,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT03680664,38862476,false,google_scholar
NCT02710201,28213634,true,"linked_at_registration,google_scholar,nct_match"
NCT02710201,29990615,false,pubmed_naive
NCT02710201,32874593,false,pubmed_naive
NCT02710201,35657298,false,pubmed_naive
NCT02710201,37055760,false,pubmed_naive
NCT02710201,38013166,false,pubmed_naive
NCT02710201,38512336,false,pubmed_enhanced
NCT03566485,30496435,false,google_scholar
NCT03566485,30689917,false,google_scholar
NCT03566485,31511663,false,nct_match
NCT03566485,32874827,false,google_scholar
NCT03566485,34510317,false,google_scholar
NCT03566485,34808524,false,google_scholar
NCT03566485,35429910,false,google_scholar
NCT03566485,36361773,false,google_scholar
NCT03566485,38365756,false,pubmed_naive
NCT03566485,38845342,false,pubmed_naive
NCT03566485,38927895,false,google_scholar
NCT03566485,39028669,false,google_scholar
NCT03566485,39099762,false,pubmed_naive
NCT03566485,39446377,false,pubmed_naive
NCT03566485,39469641,false,pubmed_naive
NCT00704561,20630463,true,"linked_at_registration,google_scholar,nct_match"
NCT00704561,33224763,false,google_scholar
NCT00704561,38970466,false,pubmed_naive
NCT00704561,39196989,false,pubmed_naive
NCT00704561,39277074,false,pubmed_naive
NCT00704561,39408046,false,pubmed_naive
NCT00704561,39466496,false,pubmed_naive
NCT00892190,24694321,false,google_scholar
NCT00892190,25631637,false,google_scholar
NCT00892190,25817574,false,google_scholar
NCT00892190,26287494,false,google_scholar
NCT00892190,26539342,false,google_scholar
NCT00892190,29616864,true,google_scholar
NCT00892190,31726045,false,google_scholar
NCT00892190,34299349,false,google_scholar
NCT00892190,38685568,false,google_scholar
NCT00152594,25808916,false,pubmed_enhanced
NCT02548897,32581744,false,google_scholar
NCT02548897,33101007,false,google_scholar
NCT02548897,39464215,false,pubmed_enhanced
NCT01190384,26225995,true,google_scholar
NCT01190384,28735851,false,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT02346032,26298497,false,google_scholar
NCT02346032,26325474,false,google_scholar
NCT02346032,28480071,false,google_scholar
NCT02346032,29170065,false,google_scholar
NCT02346032,30743998,false,google_scholar
NCT02346032,31015767,false,google_scholar
NCT02346032,32827952,false,google_scholar
NCT02346032,33658799,false,google_scholar
NCT03629886,31305011,false,pubmed_enhanced
NCT03629886,31829767,false,pubmed_enhanced
NCT03629886,36101936,true,"pubmed_naive,nct_match"
NCT03629886,36113531,false,pubmed_enhanced
NCT03629886,38944184,false,google_scholar
NCT01578174,23707085,true,google_scholar
NCT01578174,31544371,false,pubmed_enhanced
NCT01778270,25861647,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01778270,32109235,false,google_scholar
NCT03235947,30133928,false,pubmed_enhanced
NCT03235947,31883327,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match"
NCT04559854,35523716,true,"pubmed_enhanced,google_scholar"
NCT01460303,26829348,true,google_scholar
NCT01460303,39298682,false,pubmed_naive
NCT01460303,39363437,false,pubmed_naive
NCT01460303,39415798,false,pubmed_naive
NCT05097937,35629015,true,"pubmed_naive,google_scholar"
NCT05097937,36817790,false,pubmed_naive
NCT05097937,37847947,true,pubmed_naive
NCT05097937,38194261,false,pubmed_naive
NCT05097937,38419662,false,pubmed_naive
NCT02668575,28215711,false,pubmed_enhanced
NCT02668575,31235360,false,google_scholar
NCT02668575,31473650,false,pubmed_enhanced
NCT02668575,31862306,false,pubmed_enhanced
NCT02668575,35536059,false,pubmed_naive
NCT02668575,36350712,true,google_scholar
NCT02668575,36516754,false,pubmed_naive
NCT02668575,36703990,false,pubmed_naive
NCT02668575,38917792,false,pubmed_naive
NCT02668575,39106098,false,pubmed_naive
NCT03877458,38293539,false,pubmed_naive
NCT03877458,38534755,false,pubmed_naive
NCT03877458,39392469,false,pubmed_naive
NCT00660894,22415232,true,google_scholar
NCT00660894,24647158,false,google_scholar
NCT00660894,24942277,true,"linked_at_registration,google_scholar,nct_match"
NCT00660894,25929347,false,google_scholar
NCT00660894,26976971,true,google_scholar
NCT00660894,30425843,true,"linked_at_registration,google_scholar,nct_match"
NCT00660894,33403014,false,google_scholar
NCT00660894,37022513,false,pubmed_naive
NCT00660894,37097679,false,pubmed_naive
NCT00660894,37198556,false,pubmed_naive
NCT00660894,37749535,false,pubmed_naive
NCT00660894,38881069,false,pubmed_naive
NCT03524040,30070369,true,google_scholar
NCT03524040,32582729,false,pubmed_enhanced
NCT03524040,33665916,false,pubmed_enhanced
NCT03524040,34865224,false,pubmed_enhanced
NCT03524040,35593006,false,pubmed_enhanced
NCT03524040,36544584,false,pubmed_enhanced
NCT03524040,39366915,false,pubmed_naive
NCT03524040,39382264,false,pubmed_naive
NCT03524040,39493507,false,pubmed_naive
NCT00057707,15090936,false,pubmed_naive
NCT00057707,17579498,false,pubmed_naive
NCT00057707,17634412,false,google_scholar
NCT00057707,19914296,false,google_scholar
NCT00057707,21909634,false,pubmed_naive
NCT00057707,22820555,false,pubmed_naive
NCT00057707,27147593,false,google_scholar
NCT00057707,31828767,true,google_scholar
NCT00057707,36610558,false,google_scholar
NCT00917735,25254214,false,google_scholar
NCT00917735,26581683,true,"linked_at_registration,google_scholar,nct_match"
NCT00917735,26701796,true,"linked_at_registration,pubmed_naive,google_scholar,nct_match"
NCT00917735,27806972,true,"linked_at_registration,pubmed_naive,google_scholar,nct_match"
NCT00917735,28747487,false,"linked_at_registration,pubmed_naive,google_scholar,nct_match"
NCT00917735,28765194,false,google_scholar
NCT00917735,28904061,true,"pubmed_enhanced,google_scholar"
NCT00917735,29290208,false,pubmed_enhanced
NCT00917735,30926986,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT00917735,31327752,false,pubmed_enhanced
NCT00917735,37011435,true,"pubmed_naive,pubmed_enhanced,nct_match"
NCT00847457,20454641,false,"linked_at_registration,pubmed_enhanced"
NCT00847457,24244220,true,"pubmed_enhanced,google_scholar"
NCT00847457,26233322,false,pubmed_enhanced
NCT00847457,33024452,false,google_scholar
NCT00847457,36722407,false,pubmed_naive
NCT00847457,37439598,false,pubmed_naive
NCT00847457,38267797,false,pubmed_naive
NCT00847457,38301190,false,pubmed_enhanced
NCT00847457,38868129,false,pubmed_enhanced
NCT00847457,39415283,false,pubmed_naive
NCT01573988,23333553,true,google_scholar
NCT01573988,24472321,true,google_scholar
NCT01573988,26508463,true,google_scholar
NCT01573988,36986274,false,pubmed_naive
NCT01585246,26891611,true,pubmed_enhanced
NCT01585246,34676991,false,google_scholar
NCT01585246,37504309,false,pubmed_naive
NCT01585246,38557207,false,pubmed_naive
NCT01585246,38598274,false,pubmed_naive
NCT01585246,39180378,false,pubmed_naive
NCT01585246,39299771,false,pubmed_naive
NCT01035008,26788257,false,pubmed_naive
NCT01035008,30140684,true,pubmed_naive
NCT01035008,34839621,false,pubmed_enhanced
NCT01035008,36089484,true,pubmed_enhanced
NCT01035008,37887627,false,pubmed_enhanced
NCT02170831,11960487,false,pubmed_enhanced
NCT02170831,17322149,false,pubmed_enhanced
NCT02170831,18006647,false,pubmed_enhanced
NCT02176317,26079441,false,google_scholar
NCT02176317,28985203,false,google_scholar
NCT02176317,29405603,true,pubmed_naive
NCT02176317,30070044,true,"pubmed_naive,pubmed_enhanced"
NCT02176317,30620122,true,"pubmed_naive,pubmed_enhanced,google_scholar"
NCT02176317,31352835,false,google_scholar
NCT02176317,32444220,true,"pubmed_naive,pubmed_enhanced"
NCT02176317,32616759,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,nct_match"
NCT02176317,32972215,false,google_scholar
NCT02176317,33207392,false,google_scholar
NCT02176317,33271192,true,google_scholar
NCT02176317,36353577,false,pubmed_enhanced
NCT02176317,36935631,false,google_scholar
NCT02176317,39496747,false,google_scholar
NCT00587041,20736987,true,"linked_at_registration,pubmed_enhanced,google_scholar,nct_match"
NCT00587041,32926886,false,google_scholar
NCT00587041,33358495,false,google_scholar
NCT00587041,39242045,false,pubmed_naive
NCT00587041,39272782,false,pubmed_naive
NCT03300089,30334934,true,google_scholar
NCT00821353,24500243,false,google_scholar
NCT00821353,27871122,false,google_scholar
NCT00821353,29766867,false,google_scholar
NCT03394014,28822098,false,pubmed_enhanced
NCT03394014,30100842,false,pubmed_enhanced
NCT03394014,31901231,false,pubmed_enhanced
NCT02315495,31790715,false,google_scholar
NCT02315495,35088682,false,google_scholar
NCT02315495,39109517,false,pubmed_naive
NCT02315495,39229371,false,pubmed_naive
NCT02315495,39279997,false,pubmed_naive
NCT02315495,39468016,false,pubmed_naive
NCT02315495,39472978,false,pubmed_naive
NCT02952664,29246340,false,pubmed_enhanced
NCT02952664,31871828,true,"pubmed_naive,pubmed_enhanced"
NCT02952664,33233742,false,pubmed_naive
NCT02952664,36001699,false,pubmed_enhanced
NCT01277159,29121400,false,google_scholar
NCT00623571,19786675,true,"linked_at_registration,google_scholar,nct_match"
NCT00623571,36824014,false,pubmed_naive
NCT00623571,37337138,false,pubmed_naive
NCT00623571,37674146,false,pubmed_naive
NCT00623571,37869700,false,pubmed_naive
NCT00623571,38561754,false,nct_match
NCT00623571,38703082,false,pubmed_naive
NCT03594773,34862593,false,pubmed_enhanced
NCT03594773,37121279,true,"linked_at_registration,pubmed_enhanced,google_scholar"
NCT03594773,37466002,false,pubmed_naive
NCT03594773,38135358,false,pubmed_naive
NCT03594773,39086494,false,pubmed_naive
NCT03594773,39145663,false,pubmed_naive
NCT03594773,39187178,false,pubmed_naive
NCT03321227,38257135,false,pubmed_naive
NCT03321227,38479905,false,pubmed_naive
NCT03321227,38931176,false,pubmed_naive
NCT03321227,39098209,false,pubmed_naive
NCT03321227,39123501,false,pubmed_naive
NCT01125683,21987594,false,google_scholar
NCT01125683,23392897,false,google_scholar
NCT01125683,38334629,false,google_scholar
NCT01035229,23479136,false,google_scholar
NCT01035229,24115810,false,google_scholar
NCT01035229,24910242,false,google_scholar
NCT01035229,25058218,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01035229,25962426,false,google_scholar
NCT01035229,27130844,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01035229,27510230,false,google_scholar
NCT01035229,33442538,false,google_scholar
NCT01035229,37428789,false,google_scholar
NCT01035229,38910299,false,google_scholar
NCT02005458,35163777,false,google_scholar
NCT02005458,35853517,false,google_scholar
NCT02005458,36232631,false,pubmed_naive
NCT02005458,36804940,false,pubmed_naive
NCT02005458,37121015,false,pubmed_naive
NCT02005458,38572038,false,pubmed_naive
NCT02005458,39232773,false,pubmed_naive
NCT02005458,39297568,false,google_scholar
NCT02005458,39485719,false,google_scholar
NCT00639314,21046497,false,pubmed_enhanced
NCT00639314,21248633,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT00639314,21667052,false,google_scholar
NCT00639314,21861144,true,pubmed_enhanced
NCT00639314,26747224,false,pubmed_naive
NCT02077491,25796103,true,"linked_at_registration,google_scholar,nct_match"
NCT02077491,28477944,true,google_scholar
NCT02077491,39023008,false,pubmed_enhanced
NCT02077491,39026321,false,pubmed_enhanced
NCT02077491,39033139,false,pubmed_enhanced
NCT02077491,39366923,false,pubmed_enhanced
NCT02077491,39451428,false,pubmed_naive
NCT01591590,24885112,true,"linked_at_registration,pubmed_naive,pubmed_enhanced,google_scholar,nct_match"
NCT01591590,27120807,false,pubmed_naive
NCT01591590,32987838,true,google_scholar
NCT02223117,27650431,false,google_scholar
NCT02223117,29319441,false,google_scholar
NCT02223117,30718153,false,google_scholar
NCT02223117,36061448,false,google_scholar
NCT02223117,37393239,false,google_scholar
NCT02223117,39063021,false,google_scholar
NCT02561299,27152654,false,google_scholar
NCT02561299,35086385,true,"linked_at_registration,google_scholar"
NCT02561299,37757890,false,google_scholar
NCT02058511,37357367,false,pubmed_naive
NCT02058511,37610736,false,pubmed_naive
NCT02058511,38159932,false,pubmed_naive
NCT02058511,38504035,false,pubmed_naive
NCT02058511,38522974,false,pubmed_naive
NCT01317615,22588151,false,google_scholar
NCT01317615,23579358,false,google_scholar
NCT01317615,23626563,false,google_scholar
NCT01317615,24281308,false,google_scholar
NCT01317615,26075448,false,google_scholar
NCT01317615,26223571,false,google_scholar
NCT01317615,28535181,true,"linked_at_registration,pubmed_naive,google_scholar,nct_match"
NCT01317615,29656752,true,google_scholar
NCT01317615,36847048,false,google_scholar
NCT00182689,20881645,true,"pubmed_naive,google_scholar"
NCT00182689,22356287,false,google_scholar
NCT00182689,24420556,false,pubmed_naive
